_RAJ2000,_DEJ2000,ADS,Period,Axis,Incl,Ecc
190.5327,26.3515,8635,62.5,0.39,30,0.25
191.5873,-68.097,,383.12,1.735,61.3,0.526
192.6866,20.5388,8680,124.1,0.635,56,0.42
193.3325,21.2402,8695,510,1.42,35,0.15
194.1719,-47.6916,,294,0.695,42.6,0.872
193.8485,69.8917,8705,58,0.22,146.3,0.62
195.1672,56.3613,8739,109.97,1.27,51.55,0.434
195.1672,56.3613,8739,106.7,1.281,51,0.421
196.1151,-13.2534,8762,108.11,0.34,110.78,0.898
197.2922,21.45,8799,218.2,0.57,127,0.37
197.5039,17.5172,8804,25.87,0.662,89.92,0.5
198.0634,-59.9151,,27,0.185,68.3,0.32
197.9123,-26.5486,,19,0.118,148.9,0.93
199.2267,-34.5947,,64.72,0.252,180,0
199.9253,47.7748,8862,48.85,1.465,94.1,0.225
200.9324,-0.7223,8884,133.83,0.36,104.5,0
200.8965,29.2278,8887,229,2.14,78.4,0.835
200.9757,54.9284,8891,0.056,0.012,60,0.53
201.4587,44.4966,8901,43.9,0.33,24,0.51
202.7508,-39.3996,,78.7,0.165,152.9,0.46
