DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
2MASSI J0328426+230205     ,,J03284265+2302051  ,3,28,42.7,23,2,5,30.18,3.83,L8  ,     ,     ,     ,     ,20.3,16.69,15.55,14.92,14.88,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,11.70549708,0.102152325,27.8173202
WISEPA J052536.33+673952.3 ,,                   ,5,25,36.3,67,39,52,30.1,    ,T6  ,     ,     ,     ,     ,     ,17.49,17.87,     ,      ,17.92,14.9,12.81,975,    ,    ,      ,          ,2011,      ,,11.87585602,2.040645284,27.58278105
SDSS J060222.14+633637.9   ,,J06022216+6336391  ,6,2,22.2,63,36,39,30.1,5.7,L1  ,     ,     ,     ,     ,     ,14.27,13.36,12.68,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,14.59767367,2.312044374,26.22160129
2MASS J08311868-3437230    ,,J08311868-3437230  ,8,31,18.7,-34,37,23,30.08,5.5,L2.5,     ,     ,     ,     ,18.73,15.08,14.37,13.9,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,11.20426417,1.824730293,27.85572156
SDSS J000649.16-085246.3 B ,x,J00064916-0852457  ,0,6,49.2,-8,52,46,30,3,T5  ,     ,20.98,     ,18.19,     ,14.14,13.55,     ,13.13,     ,     ,     ,    ,    ,60,0.286,0.404,2012,"		",,13.85587471,3.198880731,26.41556166
2MASS J00100009-2031122    ,,J00100009-2031122  ,0,10,0.1,-20,31,12,30,2,L0  ,     ,     ,     ,     ,     ,14.13,13.37,12.88,      ,     ,     ,     ,    ,    ,    ,      ,          ,2007,"		",,13.72573687,1.867990806,26.61042573
2MASS J06322402-5010349    ,,J06322402-5010349  ,6,32,24,-50,10,35,30,3,L3  ,     ,     ,     ,     ,     ,15.02,14.03,13.34,      ,     ,     ,     ,    ,    ,    ,      ,          ,2006,      ,,11.17898343,0.488084957,27.83508762
SDSS J075625.29+124455.3   ,,J07562529+1244560  ,7,56,25.3,12,44,56,30,3,L6  ,     ,     ,     ,     ,     ,16.66,15.76,14.73,      ,14.19,13.58,12.03,    ,    ,    ,      ,          ,2000,      ,,8.065096913,1.567696031,28.85301615
ULAS J081918.58+210310.8   ,,                   ,8,19,18.6,21,3,11,30,  ? ,T5.5,     ,     ,     ,     ,     ,16.95,17.28,     ,17.18,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,12.75925549,0.167027804,27.15093923
SDSS J082030.12+103737.0   ,,J08203013+1037372  ,8,20,30.1,10,37,37,30,5,L9.5,     ,     ,     ,     ,     ,16.98,16.08,15.54,      ,14.7,14.17,12.08,    ,    ,    ,      ,          ,2006,      ,,12.45490922,2.028410772,27.21692095
2MASS J08230838+6125208    ,,J08230838+6125208  ,8,23,8.4,61,25,21,30,  ? ,L2  ,     ,     ,     ,     ,     ,14.82,13.81,13.2,      ,12.75,12.41,12.5,    ,    ,    ,      ,          ,2008,      ,,12.23171848,1.339591041,27.36038302
DENIS-P J1159+0057         ,,J11593850+0057268  ,11,59,38.5,0,57,27,30,2,L0  ,     ,21.14,     ,18.51,17.32,14.08,13.31,12.81,12.67,     ,     ,     ,    ,    ,    ,      ,          ,1999,      ,,7.56956672,1.922425045,28.96559928
DENIS-P J1208.5+0149       ,,J12083152+0149248  ,12,8,31.5,1,49,25,30,5.7,L0  ,     ,     ,     ,19.29,18.38,15.39,14.42,14.1,13.77,     ,     ,     ,    ,    ,    ,      ,          ,1999,      ,,13.70413373,2.975459106,26.52062144
SDSS J133406.17+194035.8   ,,J13340623+1940351  ,13,34,6.2,19,40,35,30,2,L1.5,     ,     ,     ,19.88,18.76,15.48,14.83,14,      ,13.68,13.39,12.21,    ,    ,    ,      ,          ,1999,      ,,10.81560247,1.907082529,27.91748161
2MASS J16180406-4019163    ,,J16180406-4019163  ,16,18,4.1,-40,19,16,30,8.75,L5  ,     ,     ,21.65,     ,19.74,15.89,15.22,14.63,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,12.86292893,1.068826971,27.08140817
WISEPA J172844.93+571643.6 ,,                   ,17,28,44.9,57,16,44,30,    ,T6  ,     ,     ,     ,     ,     ,17.68,17.88,     ,      ,17.37,14.92,13.41,975,    ,    ,      ,          ,2011,      ,,11.60336776,0.811386515,27.65327302
2MASS J22120703+3430351    ,,J22120703+3430351  ,22,12,7,34,30,35,30,1,L5  ,     ,     ,     ,     ,     ,16.32,15.18,14.37,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,13.48970398,1.775953221,26.73712544
2MASS J07230144-1616209    ,,J07230144-1616209  ,7,23,1.4,-16,16,21,29.81,5.14,L0  ,     ,     ,20.5,     ,17.93,14.19,13.47,13.01,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,12.21094387,0.853872376,27.1808729
