DESIGNATION            ,M?,2MASS_NUMBER,RA_h,RA_m,RA_s,DEC_d, DEC_'," DEC_""",DIST,+/-0,SPEC,V,r,R, I,I,J,H,Ks,K,W1,W2,W3,Teff,RAD,MASS,a,PER,DISC,STAT ,PM?,x,y,z
2MASS J12392727+5515371 B  ,x,J12392727+5515371  ,12,39,27.3,55,15,37,23.58,1.17,L5  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,74,4.5,35,2003,      ,,8.100123784,0.530910162,22.1387111
DENIS-P J0909575-065818    ,,J09095749-0658186  ,9,9,57.5,-6,58,19,23.53,2.33,L0  ,     ,     ,     ,     ,17.21,13.89,13.09,12.54,12.51,12.22,11.97,11.19,    ,    ,    ,      ,          ,1999,      ,,10.52254422,2.721314968,20.86938926
2MASS J06431685-1843375    ,,J06431685-1843375  ,6,43,16.9,-18,43,38,23.5,1.95,M8  ,     ,     ,18.72,     ,16.08,13.01,12.29,11.8,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012, UNCON,,7.584966593,1.440050903,22.1955972
SDSS J111736.93+360935.9   ,,J11173691+3609359  ,11,17,36.9,36,9,36,23.5,4.5,L0  ,     ,     ,     ,18.64,     ,14.27,13.46,12.96,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,10.14480068,0.398590304,21.1937289
DENIS-P J1411051-791536    ,,J14110473-7915357  ,14,11,4.7,-79,15,36,23.5,4.1,M9  ,     ,     ,     ,     ,16.11,13.23,12.54,     ,12.2,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,10.72987288,0.703273024,20.89557932
WISE J031627.78+265027.6   ,x,                   ,3,16,27.8,26,50,28,23.5,2.4,T2.5,     ,     ,     ,     ,     ,16.11,15.82,     ,15.5,15.08,13.97,12.47,    ,    ,    ,      ,          ,2015,      ,,10.01582058,2.220453964,21.14244362
WISE J031627.78+265027.6 B ,x,                   ,3,16,27.8,26,50,28,23.5,2.4,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,10.01582058,2.220453964,21.14244362
WISE J101944.62-391151.6   ,,                   ,10,19,44.6,-39,11,52,23.5,4.5,T4  ,     ,     ,     ,     ,     ,     ,19.62,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,2015, UNCON,,9.943910482,0.477640272,21.28709713
WISE J001851.51+515330.6   ,,                   ,0,18,51.5,51,53,31,23.4,2.8,L7  ,     ,     ,     ,     ,     ,16.7,15.4,     ,14.51,13.58,13.04,12.55,    ,    ,10,      ,          ,2015,      ,,9.728720326,2.290809551,21.15807629
2MASS J05185995-2828372 A  ,x,J05185995-2828372  ,5,18,60,-28,28,37,23.36,0.49,L6  ,     ,     ,     ,     ,     ,16.67,15.11,14.3,      ,13.41,12.82,11.73,    ,    ,73,      ,          ,2002,      ,,9.890370806,1.214384837,21.1280722
2MASS J05185995-2828372 B  ,x,J05185995-2828372  ,5,18,60,-28,28,37,23.36,0.49,T4  ,     ,     ,     ,     ,     ,16.8,16.44,16.48,      ,     ,     ,     ,    ,    ,52,1.8,10,     ,      ,,9.890370806,1.214384837,21.1280722
ULAS J131508.42+082627.4   ,,                   ,13,15,8.4,8,26,27,23.36,4.2,T7.5,     ,     ,     ,     ,     ,18.86,19.5,19.6,      ,     ,     ,     ,608,0.96,    ,      ,          ,2008,      ,,10.25273124,1.168151171,20.95725471
SDSSp J163600.79-003452.6  ,,J16360078-0034525  ,16,36,0.8,0,34,53,23.3,4.4,L0  ,     ,     ,     ,18.8,     ,14.59,13.9,13.42,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,8.257004359,1.23401757,21.75290968
WISE J040418.01+412735.6   ,,                   ,4,4,18,41,27,36,23.2,3.6,L2  ,     ,     ,     ,     ,     ,14.15,13.1,12.42,      ,11.85,11.55,11.64,2100,    ,70,      ,          ,2013,      ,,11.14323354,1.318888603,20.30588287
SDSS J083048.80+012831.1   ,,J08304878+0128311  ,8,30,48.8,1,28,31,23.2,3.28,T4.5,     ,     ,     ,24.13,     ,16.29,16.14,16.36,16.38,15.75,14.05,12.58,    ,    ,    ,      ,          ,2004,      ,,8.736524338,1.072710305,21.46537759
2MASSI J1029216+162652     ,,J10292165+1626526  ,10,29,21.7,16,26,53,23.2,2,L2.5,     ,     ,     ,18.76,17.9,14.29,13.33,12.62,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,8.880466036,1.0118013,21.40919385
WISEPA J030533.54+395434.4 ,,                   ,3,5,33.5,39,54,34,23.1,    ,T6  ,     ,     ,     ,     ,     ,17.13,17.08,16.93,      ,16.82,14.64,12.64,975,    ,    ,      ,          ,2011,      ,,10.75583973,2.582248655,20.27939604
DENIS-P J002105.8-424442   ,x,J00210589-4244433  ,0,21,5.9,-42,44,43,23,2,M9.5,     ,     ,     ,     ,16.79,13.52,12.81,     ,12.3,     ,     ,     ,    ,    ,84,1800,170000,     , UNCON,,9.443460798,1.835622829,20.89142257
DENIS-P J0128266?554534    ,,J01282664-5545343  ,1,28,26.6,-55,45,34,23,1,L2  ,     ,     ,     ,     ,17.07,13.78,12.92,12.34,12.34,11.94,11.69,11.3,    ,    ,    ,      ,          ,1997,      ,,8.773952765,1.745247716,21.18895616
ULAS J015024.37+135924.0   ,,                   ,1,50,24.4,13,59,24,23,    ,T7.5,     ,     ,     ,     ,     ,17.73,18.11,17.84,      ,17.39,15.19,12.11,775,    ,    ,      ,          ,2010,      ,,6.650664834,1.750973925,21.94772762
2MASS J02284355-6325052    ,,J02284355-6325052  ,2,28,43.6,-63,25,5,23,3,L1  ,     ,     ,     ,     ,     ,13.56,12.75,12.25,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,8.86662712,0.971053599,21.19999949
WISEP J031614.68+382008.0  ,,                   ,3,16,14.7,38,20,8,23,  ? ,T3  ,     ,     ,     ,     ,     ,16.21,15.5,15.33,      ,14.72,13.56,12.37,    ,    ,    ,      ,          ,2013,      ,,10.0221487,0.876824395,20.68302963
2MASS J03184214+0828002    ,x,J03184214+0828002  ,3,18,42.1,8,28,0,23,    ,,     ,     ,     ,     ,     ,13.79,13.09,12.69,      ,12.44,12.23,11.42,    ,    ,    ,1700,          ,2012, UNCON,,9.764819694,1.198969098,20.7896794
SDSS J035104.37+481046.8   ,,J03510423+4810477  ,3,51,4.2,48,10,48,23,2,T1  ,     ,     ,     ,     ,     ,16.47,15.57,15,      ,14.57,13.9,12.31,    ,    ,    ,      ,          ,2006,      ,,6.807261762,0.297211467,21.96754089
LP 655-23 B                ,x,J04305157-0849007  ,4,30,51.6,-8,49,1,23,2,M8  ,     ,     ,18.8,     ,15.79,12.9,12.2,     ,11.78,     ,     ,     ,    ,    ,    ,450,          ,2003,      ,,8.52333185,1.850596751,21.28210765
2MASS J09054654+5623117    ,,J09054654+5623117  ,9,5,46.5,56,23,12,23,4,L5  ,     ,     ,     ,     ,     ,15.4,14.28,13.73,      ,13,12.64,12.17,    ,    ,    ,      ,          ,2008,      ,,10.93917148,1.101516647,20.20200951
SDSS J090900.73+652527.2   ,,J09090085+6525275  ,9,9,0.9,65,25,28,23,1,T1.5,     ,     ,     ,     ,     ,16.03,15.21,15.17,      ,14.47,13.42,     ,    ,    ,    ,      ,          ,2002,      ,,10.64415818,1.165724911,20.35541653
2MASS J10595185+3042059    ,,J10595185+3042059  ,10,59,51.9,30,42,6,23,  ? ,T4  ,     ,     ,     ,     ,     ,16.2,15.77,15.56,      ,15.81,14.24,12.36,    ,    ,    ,      ,          ,2009,      ,,5.866023541,1.087203201,22.21278364
SDSS J125011.65+392553.9   ,,J12501166+3925582  ,12,50,11.7,39,25,58,23,2,T4  ,     ,     ,     ,     ,     ,16.54,16.18,16.06,      ,15.87,14.48,12.4,    ,    ,    ,      ,          ,2006,      ,,6.856570313,0.750916576,21.94136659
SDSS J133132.98+340757.5   ,,J13313310+3407583  ,13,31,33.1,34,7,58,23,2,L0  ,     ,     ,     ,18.55,     ,14.33,13.4,12.89,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,8.653614035,0.264391821,21.30833314
WISEP J144901.85+114710.9  ,,                   ,14,49,1.9,11,47,11,23,  ? ,T5.5,     ,     ,     ,     ,     ,17.36,17.73,16.64,18.1,17.39,14.84,12.4,    ,    ,    ,      ,          ,2010,      ,,6.861984956,1.427294923,21.90607203
WISE J150406.66-455223.9   ,,                   ,15,4,6.7,-45,52,24,23,1,L8  ,     ,     ,     ,     ,     ,16.56,15.43,14.83,      ,14.15,13.81,12.34,    ,    ,    ,      ,          ,2013,      ,,10.85528009,2.506138878,20.12168388
SDSS J151643.01+305344.4   ,,J15164306+3053443  ,15,16,43.1,30,53,44,23,3,T0.5,     ,     ,     ,     ,     ,16.85,15.87,15.08,      ,14.12,13.32,12.08,    ,    ,    ,      ,          ,2006,      ,,9.751015032,2.296059257,20.70376337
WISEP J154459.27+584204.5  ,,                   ,15,44,59.3,58,42,5,23,    ,T7.5,     ,     ,     ,     ,     ,18.52,18.34,17.98,      ,18.39,15.03,13.42,825,    ,    ,      ,          ,2013,      ,,7.270399545,1.347488908,21.7790166
2MASS J16573454+1054233    ,,J16573454+1054233  ,16,57,34.5,10,54,23,23,2,L2  ,     ,     ,     ,     ,     ,14.15,13.34,12.8,      ,     ,     ,     ,    ,    ,    ,      ,          ,2008,      ,,6.01660921,1.444460073,22.15206421
2MASS J18401904-5631138    ,,J18401904-5631138  ,18,40,19,-56,31,14,23,  ? ,L9  ,     ,     ,     ,     ,     ,16.07,15.52,15.19,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,7.765012558,1.056771829,21.62377889
2MASS J18544597+8429470    ,,J18544597+8429470  ,18,54,46,84,29,47,23,    ,L0  ,     ,     ,     ,     ,     ,13.66,13.01,12.47,      ,     ,     ,     ,2000,1.25,    ,      ,          ,     ,      ,,6.406908599,0.81506172,22.07458259
WISEP J200804.71-083428.5  ,,                   ,20,8,4.7,-8,34,29,23,  ? ,T5.5,     ,     ,     ,     ,     ,16.37,16.69,15.66,      ,16.25,14.23,12.64,    ,    ,    ,      ,          ,2013,      ,,10.67237547,1.594997201,20.31148408
2MASS J20343769+0827009    ,,J20343769+0827009  ,20,34,37.7,8,27,1,23,2,L1  ,     ,     ,     ,     ,     ,14.46,13.59,13.08,      ,12.75,12.56,11.77,    ,    ,    ,      ,          ,2003,      ,,8.312804249,0.98388522,21.42263418
2MASS J21371044+1450475    ,,J21371044+1450475  ,21,37,10.4,14,50,48,23,2,L2  ,     ,     ,     ,     ,     ,14.13,13.3,12.82,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,7.939653822,1.760178876,21.5142666
SDSS-J080531.84+481233.0 A ,x,J08053189+4812330  ,8,5,31.8,48,12,33,22.94,0.58,L4.5,     ,22.39,     ,19.59,     ,14.73,13.92,13.44,13.44,12.89,12.43,11.97,    ,    ,82,      ,          ,1999,      ,,10.97228463,0.575033071,20.1375745
SDSS-J080531.84+481233.0 B ,x,J08053189+4812330  ,8,5,31.8,48,12,33,22.94,0.58,T5  ,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,72,      ,          ,     ,      ,,10.97228463,0.575033071,20.1375745
WISEP J180901.07+383805.4  ,,                   ,18,9,1.1,38,38,5,22.8,    ,T7  ,     ,     ,     ,     ,     ,17.37,     ,     ,      ,18.02,15.19,10.4,675,    ,    ,      ,          ,2012,      ,,10.46882686,1.751880801,20.17856729
SDSS J135439.54+504451.0   ,,                   ,13,54,39.5,50,44,51,22.7,4.3,L1  ,     ,     ,     ,18.68,     ,14.35,13.58,13.16,      ,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,6.267297694,1.218239263,21.78363773
NLTT 41135 B               ,x,                   ,15,46,4.3,4,41,30,22.7,6.8,,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,32 0,0.0235,0.00791,2010,      ,,7.081239292,1.280496659,21.52919828
2MASS J08534782-4106556    ,,J08534782-4106556  ,8,53,47.8,-41,6,56,22.6,4.74,L6  ,     ,     ,     ,     ,     ,15.59,15.03,14.47,      ,     ,     ,     ,    ,    ,    ,      ,          ,2012,      ,,6.435763352,0.168526394,21.66362271
2MASS J01490895+2956131    ,,J01490895+2956131  ,1,49,9,29,56,13,22.5,0.4,M9.5,     ,     ,     ,     ,     ,13.44,12.59,12.01,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,6.642081842,1.656057001,21.4333904
WISE J061429.77+383337.5   ,,                   ,6,14,29.8,38,33,38,22.5,4.5,L0.5,     ,     ,     ,     ,     ,     ,     ,     ,      ,     ,     ,     ,    ,    ,    ,      ,          ,     ,      ,,9.892347568,1.434322135,20.1577325
SIMP J21543454-1055308     ,,J21543454-1055308  ,21,54,34.5,-10,55,31,22.5,2.8,L5  ,     ,     ,     ,     ,     ,16.44,     ,     ,      ,     ,     ,     ,1600,1.32,10,      ,          ,     ,      ,P,6.154616995,1.506025197,21.58940893
2MASS J05160945-0445499    ,,J05160945-0445499  ,5,16,9.5,-4,45,50,22.47,3.28,T5.5,     ,     ,     ,     ,     ,15.98,15.72,15.49,15.79,15.46,13.6,12.65,    ,    ,    ,      ,          ,2003,      ,,9.647244102,1.918956163,20.2027025
SDSS J120747.17+024424.8   ,,J12074717+0244249  ,12,7,47.2,2,44,25,22.47,6.16,T0  ,     ,24.37,     ,21.49,     ,15.58,14.56,13.99,13.99,13.41,12.78,11.55,    ,    ,    ,      ,          ,2002,      ,,10.37333466,2.016371997,19.83000434
DENIS-P J170548.38-051645.7,,J17054834-0516462  ,17,5,48.3,-5,16,46,22.47,6.06,L4  ,     ,     ,     ,     ,16.6,13.31,12.55,12.03,12.1,     ,     ,     ,2200,0.31,    ,      ,          ,2002,      ,,10.71239659,0.749083742,19.73789079
WISEPA J022105.94+384202.9 ,,                   ,2,21,5.9,38,42,3,22.4,    ,T6.5,     ,     ,     ,     ,     ,17.59,17.45,16.95,      ,16.72,14.62,12.69,975,    ,    ,      ,          ,2011,      ,,9.2123602,1.707410041,20.34642894
DENIS-P J1206501?393725    ,,J12065011-3937261  ,12,6,50.1,-39,37,26,22.4,4.1,L2  ,     ,     ,     ,     ,17.67,14.32,13.6,     ,13.09,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,10.47850988,1.7065337,19.72431427
DENIS-P J122815.2-154733 B ,x,J12281523-1547342  ,12,28,15.2,-15,47,34,22.32,0.9,L5  ,     ,     ,     ,     ,     ,     ,     ,13.59,      ,     ,     ,     ,    ,    ,63,6.4,44,1997,      ,,8.516131872,1.771357977,20.55529588
DENIS-P J122815.2-154733 A ,x,J12281523-1547342  ,12,28,15.4,-15,47,36,22.32,0.9,L5  ,     ,     ,20.48,     ,18.22,14.38,13.35,13.45,12.74,12.01,11.68,11,    ,    ,63,      ,          ,1997,      ,,8.515839171,1.771297095,20.55542239
WISE J062442.37+662625.6   ,,                   ,6,24,42.4,66,26,26,22.3,4.1,L1  ,     ,     ,     ,     ,     ,13.41,12.77,12.27,      ,12.02,11.79,11.63,2210,    ,72,      ,          ,2013,      ,,8.94946793,1.019663073,20.39993409
WISEPA J171717.02+612859.3 ,,                   ,17,17,17,61,28,59,22.3,    ,T8  ,     ,     ,     ,     ,     ,18.49,18.91,16.75,      ,18.44,14.96,13.27,675,    ,    ,      ,          ,2011,      ,,9.591261854,1.177658875,20.09753258
DENIS-P J035726.9-441730 B ,x,J03572695-4417305  ,3,57,27,-44,17,31,22.2,2,L1.5,     ,     ,     ,     ,17.91,14.52,13.53,12.91,12.79,12.48,12.09,11.6,    ,    ,84,2.2,11,2003, UNCON,,5.967558432,0.443466195,21.37829703
2MASSW J1338261+414034     ,,J13382615+4140342  ,13,38,26.2,41,40,34,22.2,1.9,L2.5,     ,     ,     ,     ,17.6,14.22,13.31,12.77,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,7.617458785,1.343163508,20.80889794
WISEP J151721.13+052929.3  ,,                   ,15,17,21.1,5,29,29,22.2,    ,T8  ,     ,     ,     ,     ,     ,18.54,18.85,     ,      ,18.1,15.13,13.13,675,    ,    ,      ,          ,2013,      ,,9.537127223,1.213275825,20.01027651
DENIS-P J0055005-545026    ,,J00550057-5450262  ,0,55,0.6,-54,50,26,22.1,5.1,L1  ,     ,     ,     ,     ,16.78,13.96,13.25,     ,12.88,     ,     ,     ,    ,    ,    ,      ,          ,2011,      ,,6.036726643,1.338310076,21.2173716
WISEPC J095259.29+195507.3 ,,                   ,9,52,59.3,19,55,7,22.1,    ,T6  ,     ,     ,     ,     ,     ,17.13,17.22,17.34,      ,17.25,14.39,12.47,975,    ,    ,      ,          ,2011,      ,,6.187657624,1.514110188,21.16200282
2MASS J23473680+2702068    ,,J23473680+2702068  ,23,47,36.8,27,2,7,22.1,1.5,M9  ,     ,     ,     ,     ,     ,13.19,12.45,12,      ,     ,     ,     ,    ,    ,    ,      ,          ,2000,      ,,6.864465593,0.059905284,21.00679708
WISEP J154352.78-043909.5  ,,                   ,15,43,52.8,-4,39,10,22.09,1.21,T4.5,     ,     ,     ,     ,22.02,16.45,16.45,16.43,      ,15.92,14.35,12.51,    ,    ,    ,      ,          ,2012,      ,,7.098699805,1.219779716,20.88273685
CFBDS J013302+023128       ,,                   ,1,33,2.3,2,31,28,22,5,T8.5,     ,     ,     ,     ,     ,18.15,18.62,18.64,      ,17.79,15.1,     ,675,    ,    ,      ,          ,2011,      ,,8.074413344,1.098879428,20.43517343
2MASSW J0205034+125142     ,,J02050344+1251422  ,2,5,3.4,12,51,42,22,2,L5  ,     ,     ,     ,     ,     ,15.68,14.45,13.67,      ,12.92,12.53,11.44,    ,    ,    ,      ,          ,2000,      ,,10.31617967,2.334313138,19.29060443
2MASS J04510093-3402150    ,,J04510093-3402150  ,4,51,0.9,-34,2,15,22,1,L0.5,     ,     ,     ,     ,     ,13.54,12.83,12.29,      ,     ,     ,     ,    ,    ,    ,      ,          ,2003,      ,,6.522291147,0.056919173,21.01086572
WISEP J054601.19-095947.5  ,,                   ,5,46,1.2,-9,59,48,22,  ? ,T5  ,     ,     ,     ,     ,     ,16.18,16.27,15.47,      ,15.94,13.96,12.56,    ,    ,    ,      ,          ,2013,      ,,6.748899268,1.776836893,20.86372952
DENIS-P J0953213?101420    ,,J09532126-1014205  ,9,53,21.3,-10,14,21,22,1,L0  ,     ,     ,     ,     ,16.82,13.47,12.64,12.14,12.11,11.76,11.4,10.76,    ,    ,    ,      ,          ,2002,      ,,6.295913524,0.385074567,21.07636568
DENIS-P J104731.1-181558   ,,J10473109-1815574  ,10,47,31.1,-18,15,57,22,1.9,L2.5,     ,     ,     ,     ,17.75,14.2,13.42,12.89,12.88,     ,     ,     ,    ,    ,    ,      ,          ,1999,      ,,6.827682567,0.447509958,20.90890924
GJ 3629 B                  ,x,J10512059+3607255  ,10,51,20.6,36,7,26,22,3,M7  ,     ,     ,     ,     ,     ,12.32,11.77,11.44,11.39,     ,     ,     ,    ,    ,46,4.4,17,2012,      ,,6.489404013,0.198269225,21.02018851
WISEP J125015.56+262846.9  ,,                   ,12,50,15.6,26,28,47,22,  ? ,T6.5,     ,     ,     ,     ,     ,16.93,17.1,15.72,      ,16.36,14.58,12.84,    ,    ,    ,      ,          ,2013,      ,,6.542586587,0.803328621,20.98926449
SDSS J133731.17+493836.8   ,,J13373116+4938367  ,13,37,31.2,49,38,37,22,2,L0  ,     ,     ,     ,     ,     ,13.77,13.04,12.58,      ,     ,     ,     ,    ,    ,    ,      ,          ,2007,      ,,7.641449112,1.278740031,20.59060658
WISEP J140035.40-385013.5  ,,                   ,14,0,35.4,-38,50,14,22,  ? ,T4  ,     ,     ,     ,     ,     ,16.04,15.82,16.07,      ,15.34,13.75,12.78,    ,    ,    ,      ,          ,2013,      ,,10.69133502,2.370211911,19.08081369
SDSS J141530.05+572428.7   ,,J14153003+5724300  ,14,15,30,57,24,30,22,7,T3  ,     ,     ,     ,     ,     ,16.73,15.82,15.54,15.55,14.83,13.93,12.39,    ,    ,    ,      ,          ,2000,      ,,9.634213321,1.012596623,19.75238167
SDSS J142831.28+592335.3   ,,J14283132+5923354  ,14,28,31.3,59,23,35,22,2,L4  ,     ,     ,     ,19.66,     ,14.78,13.88,13.27,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,8.506948021,0.856604623,20.27062071
SDSSp J144600.60+002452.0  ,,J14460061+0024519  ,14,46,0.6,0,24,52,22,1.57,L6  ,     ,23.39,     ,20.74,     ,15.89,14.51,13.94,13.88,13.25,12.88,11.95,    ,    ,    ,      ,          ,2002,      ,,6.941556077,0.729586943,20.86342499
SDSS J144825.69+103158.8   ,,J14482563+1031590  ,14,48,25.6,10,31,59,22,2,L3.5,     ,     ,     ,19.63,     ,14.56,13.43,12.68,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,6.697668498,0.911512678,20.93586352
2MASS J15230657-2347526    ,,J15230657-2347526  ,15,23,6.6,-23,47,53,22,2,L2.5,     ,     ,     ,     ,     ,14.2,13.42,12.9,      ,     ,     ,     ,    ,    ,    ,      ,          ,2002,      ,,8.837046734,1.838108364,20.06309953
SIMP J1619275+031350 A     ,x,J16192751+0313507  ,16,19,27.5,3,13,51,22,3,T2.5,     ,     ,     ,23.11,     ,15.85,15.48,15.49,      ,     ,     ,     ,1219,    ,    ,      ,          ,2011,      ,,9.329671012,0.529777113,19.91674107
SIMP J1619275+031350 B     ,x,J16192751+0313507  ,16,19,27.5,3,13,51,22,3,T4  ,     ,     ,     ,23.41,     ,16.62,15.89,15.9,      ,     ,     ,     ,1164,    ,    ,15.4,175,2011,      ,,9.329671012,0.529777113,19.91674107
DENIS-P J1622326?120719    ,,J16223264-1207192  ,16,22,32.6,-12,7,19,22,3.8,M9.5,     ,     ,     ,     ,16.56,13.55,12.86,     ,12.41,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,9.071532552,0.277160387,20.04072053
DENIS-P J1707252?013809    ,,J17072529-0138093  ,17,7,25.3,-1,38,9,22,4.3,L2  ,     ,     ,     ,     ,17.81,14.29,13.57,13.07,12.86,     ,     ,     ,    ,    ,    ,      ,          ,2010,      ,,10.23503994,1.712758287,19.39872203
WISEP J173623.03+605920.2  ,,                   ,17,36,23,60,59,20,22,  ? ,T8  ,     ,     ,     ,     ,     ,18.91,18.14,16.96,      ,18.7,15.35,13.29,    ,    ,    ,      ,          ,2013,      ,,7.591050083,1.9985567,20.55192764
2MASS J17430860+8526594    ,x,J17430860+8526594  ,17,43,8.6,85,26,59,22,    ,L5  ,     ,     ,     ,     ,     ,14.56,13.82,13.47,      ,12.88,12.53,12.4,    ,    ,    ,650,          ,2012,      ,,7.193661976,0.819614253,20.7744906
SDSS J175024.01+422237.8   ,,J17502385+4222373  ,17,50,23.9,42,22,37,22,1,T2  ,     ,     ,     ,     ,     ,16.47,15.42,15.48,      ,14.78,13.97,13,    ,    ,    ,      ,          ,2004,      ,,6.548761455,0.630574007,20.99323938
2MASS J21373742+0808463    ,,J21373742+0808463  ,21,37,37.4,8,8,46,22,4,L5  ,     ,     ,     ,     ,     ,14.77,13.61,13.02,      ,     ,     ,     ,    ,    ,    ,      ,          ,1999,      ,,7.733705566,0.270066949,20.59409775
