    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
SDSS J133132.98+340757.5   |  |J13313310+3407583  |13 |31| 33.1 | +34| 7|58|23.00|2.00|L0  |     |     |     |18.55|     |14.33|13.40|12.89|      |     |     |     |    |    |    |      |          | 2002|      |
SDSS J133148.92-011651.4   |  |J13314894-0116500  |13 |31| 48.9 | -01|16|50|14.86|2.78|L6  |     |22.78|     |20.69|     |15.46|14.48|14.07|      |13.41|13.12|12.26|1900|1.00|    |      |          | 2002|      |
SDSS J133406.17+194035.8   |  |J13340623+1940351  |13 |34|  6.2 | +19|40|35|30.00|2.00|L1.5|     |     |     |19.88|18.76|15.48|14.83|14.00|      |13.68|13.39|12.21|    |    |    |      |          | 1999|      |
ULAS J133553.45+113005.2   |  |                   |13 |35| 53.5 | +11|30| 5|10.34|0.34|T8.5|     |     |     |     |     |17.90|18.25|18.28|18.28 |16.89|13.84|12.21| 525|1.23|13  |      |          | 2008|      |
SDSS J133640.53+374322.6   |  |J13364062+3743230  |13 |36| 40.6 | +37|43|23|26.00|3.00|L1  |     |     |     |18.72|     |14.41|13.63|13.10|      |     |     |     |    |    |    |      |          | 2003|      |
SDSS J133731.17+493836.8   |  |J13373116+4938367  |13 |37| 31.2 | +49|38|37|22.00|2.00|L0  |     |     |     |     |     |13.77|13.04|12.58|      |     |     |     |    |    |    |      |          | 2007|      |
WISEP J133750.46+263648.6  |  |                   |13 |37| 50.5 | +26|36|49|24.00|  ? |T5  |     |     |     |     |     |16.67|16.12|16.97|      |16.31|14.62|12.22|    |    |    |      |          | 2013|      |
2MASSW J1338261+414034     |  |J13382615+4140342  |13 |38| 26.2 | +41|40|34|22.20|1.90|L2.5|     |     |     |     |17.60|14.22|13.31|12.77|      |     |     |     |    |    |    |      |          | 2000|      |
SDSS J133849.45+043731.2   |  |J13384944+0437315  |13 |38| 49.4 | +04|37|32|31.50|6.00|L1  |     |     |     |18.53|     |14.16|13.25|12.74|      |     |     |     |    |    |    |      |          | 2007|      |
2MASS J13411160-3052505    |  |J13411160-3052505  |13 |41| 11.6 | -30|52|51|24.00|2.00|L2  |     |     |     |     |     |14.61|13.73|13.08|      |12.74|12.39|11.95|    |    |    |      |          | 2004|      |
SDSS J134148.85+551046.2   |  |                   |13 |41| 48.9 | +55|10|46|24.50|4.70|L1  |     |     |     |19.74|     |15.21|14.39|14.04|      |     |     |     |    |    |    |      |          | 2010|      |
SDSS J134316.54+394509.2   |  |J13431670+3945087  |13 |43| 16.7 | +39|45| 9|27.00|2.00|L5  |     |     |     |21.30|19.80|16.16|14.86|14.15|      |13.23|12.84|12.28|    |    |    |      |          | 2000|      |
SDSSp J134646.45-003150.4  |  |J13464634-0031501  |13 |46| 46.3 | -00|31|50|14.64|0.49|T7  |     |     |     |     |21.03|15.64|15.97|15.77|15.96 |15.41|13.56|11.99| 990|0.87|46  |      |          | 2000|      |
DENIS-P J1347590-761005 B  | x|J13475911-7610054  |13 |47| 59.1 | -76|10| 5|26.00|3.00|L0  |     |     |     |     |     |13.79|13.05|12.55|      |     |     |     |    |    |    |  420 |          | 2007|      |
LHS 2803 B                 | x|J13480290-1344071  |13 |48|  2.9 | -13|44| 7|19.20|0.90|T5.5|     |     |     |     |     |16.48|16.09|17.01|16.45 |16.15|14.18|12.14|1030|    |42  | 1298 |          | 2012|      |
WISEPC J134806.99+660327.8 |  |                   |13 |48|  7.0 | +66| 3|28|27.90|    |L9  |     |     |     |     |     |17.17|15.84|15.55|      |14.44|13.75|12.72|    |    |    |      |          | 2011|      |
