    DESIGNATION            |M?|   2MASS NUMBER    |    RA h | RA m | RA s    	|    DEC d | DEC ' | DEC "  |DIST |+/-0|SPEC|V    |  r  |R    |i    |I    |   J |H    |Ks   |K     |   W1|  W2 |W3   |Teff|RAD |MASS|  a   |   PER   | DISC|STAT |PM?
                           |  |                   |    	| DEC d  | DEC '| DEC "| pc  |pc  |    |     |     |     |     |     |     |     |     |      |     |     |     |  K |Rj  |Mj  |  AU  |    yr   | PUBL|     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ULAS J101243.54+102101.7   |  |                   |10 |12| 43.5 | +10|21| 2|28.00|5.00|T5.5|     |     |     |     |     |16.87|17.21|17.55|17.45 |     |     |     |    |    |    |      |          | 2010|      |
ULAS J101721.40+011817.9   |  |                   |10 |17| 21.4 | +01|18|18|24.40|    |T8  |     |     |     |     |     |18.53|19.07|19.01|      |     |     |     | 775|    |10  |      |          | 2008|      |
WISEPC J101808.05-244557.7 |  |                   |10 |18|  8.1 | -24|45|58|14.60|    |T8  |     |     |     |     |     |17.82|18.00|17.81|      |17.00|14.09|12.55| 675|    |    |      |          | 2011|      |
2MASSW J1018588-290953     |  |J10185879-2909535  |10 |18| 58.8 | -29| 9|54|28.33|2.57|L1  |     |     |     |     |     |14.21|13.42|12.80|      |     |     |     |    |    |    |      |          | 2002|      |
WISEPA J101905.63+652954.2 |  |                   |10 |19|  5.6 | +65|29|54|17.40|    |T6  |     |     |     |     |     |16.59|16.52|16.46|      |16.29|13.94|12.68| 975|    |    |      |          | 2011|      |
DENIS-P J1019245?270717    |  |J10192447-2707171  |10 |19| 24.5 | -27| 7|17|20.50|3.60|L0.5|     |     |19.75|     |16.90|13.53|12.91|     |12.47 |     |     |     |    |    |    |      |          | 2010|      |
SDSS J102248.13+582544.7   |  |J10224821+5825453  |10 |22| 48.2 | +58|25|45|20.00|1.00|L1  |     |     |     |     |     |13.50|12.64|12.16|      |     |     |     |2200|    |    |      |          | 2006|      |
SDSS J102552.43+321234.0   |  |J10255227+3212349  |10 |25| 52.3 | +32|12|35|29.00|1.00|L7.5|     |     |     |     |     |15.91|15.59|15.07|      |14.40|14.03|12.51|    |    |    |      |          | 2004|      |
WISEP J102557.72+030755.7  |  |                   |10 |25| 57.7 | +03| 7|56|13.00|  ? |T8.5|     |     |     |     |     |17.93|18.36|     |      |17.89|14.10|12.19|    |    |    |      |          | 2013|      |
CFBDS J102841+565401       |  |                   |10 |28| 41.0 | +56|54| 2|25.00|6.00|T8  |     |     |     |29.16|     |18.20|18.38|18.85|      |     |     |     | 675|    |    |      |          | 2010|      |
2MASSI J1029216+162652     |  |J10292165+1626526  |10 |29| 21.7 | +16|26|53|23.20|2.00|L2.5|     |     |     |18.76|17.90|14.29|13.33|12.62|      |     |     |     |    |    |    |      |          | 2000|      |
WISE J102940.51+093514.1   |  |                   |10 |29| 40.5 | +09|35|14|14.00|1.00|T8  |     |     |     |     |     |17.32|17.63|     |      |16.84|14.29|11.58|    |    |    |      |          | 2013|      |
2MASSW J1036530-344138     |  |J10365305-3441380  |10 |36| 53.1 | -34|41|38|16.26|2.41|L6  |     |     |     |     |     |15.62|14.45|13.80|      |     |     |     |    |    |    |      |          | 2002|      |
2MASS J10384085-6511463    |  |J10384085-6511463  |10 |38| 40.9 | -65|11|46|25.48|4.91|L4.5|     |     |     |     |19.06|15.27|14.38|13.75|      |     |     |     |    |    |    |      |          | 2012|      |
WISEP J103907.73-160002.9  |  |                   |10 |39|  7.7 | -16| 0| 3|14.50|    |T7.5|     |     |     |     |     |17.26|17.19|17.13|      |16.65|14.16|12.73| 825|    |    |      |          | 2013|      |
SDSS J103931.35+325625.5   |  |J10393137+3256263  |10 |39| 31.4 | +32|56|26|21.00|1.00|T1  |     |     |     |     |     |16.41|15.34|15.15|      |14.28|13.43|11.95|    |    |    |      |          | 2006|      |
2MASS J10402016-6716461    |  |J10402016-6716461  |10 |40| 20.2 | -67|16|46|23.65|4.62|L5  |     |     |     |     |19.28|15.41|14.69|14.00|      |     |     |     |    |    |    |      |          | 2012|      |
CFBDS J104209+580856       |  |                   |10 |42| 10.0 | +58| 8|57|32.00|8.00|T6.5|     |     |     |26.33|     |17.66|18.21|17.77|      |17.25|15.30|     | 975|    |    |      |          | 2010|      |
WISEPC J104245.23-384238.3 |  |                   |10 |42| 45.2 | -38|42|38|16.30|    |T8.5|     |     |     |     |     |18.98|19.08|     |      |18.57|14.52|12.95| 675|    |    |      |          | 2011|      |
SDSS J104307.51+222523.5   |  |J10430758+2225236  |10 |43|  7.6 | +22|25|24|16.00|1.00|L8  |     |     |     |     |     |15.97|14.73|13.99|      |     |     |     |    |    |    |      |          | 2007|      |
SDSS J104335.08+121314.1   |  |J10433508+1213149  |10 |43| 35.1 | +12|13|15|14.60|2.26|L7  |     |     |     |     |     |16.00|14.97|14.26|      |     |     |     |    |    |    |      |          | 2006|      |
SDSS J104409.43+042937.6   |  |J10440942+0429376  |10 |44|  9.4 | +04|29|38|19.49|3.84|L7  |     |     |     |     |     |15.88|14.95|14.26|      |     |     |     |    |    |    |      |          | 2004|      |
SDSS J104523.97-014957.7   |  |J10452400-0149576  |10 |45| 24.0 | -01|49|58|17.00|1.00|L1  |     |20.05|     |17.58|     |13.16|12.35|11.78|11.81 |11.45|11.23|10.76|2200|1.00|    |      |          | 1988|      |
LP 213-67 B                | x|J10471265+4026437  |10 |47| 12.7 | +40|26|44|11.30|0.90|L0  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |75  |  2.8 |       15 | 2003|      |
DENIS-P J104731.1-181558   |  |J10473109-1815574  |10 |47| 31.1 | -18|15|57|22.00|1.90|L2.5|     |     |     |     |17.75|14.20|13.42|12.89|12.88 |     |     |     |    |    |    |      |          | 1999|      |
2MASSI J1047538+212423     |  |J10475385+2124234  |10 |47| 53.9 | +21|24|23|10.56|0.42|T7  |     |     |     |23.52|20.89|15.82|15.80|16.41|      |15.43|12.97|     | 975|    |    |      |          | 1999|      |
DENIS-P J104814.7-395606   |  |J10481463-3956062  |10 |48| 14.6 | -39|56| 6| 4.04|0.03|L0  |17.35|     |     |     |12.67|9.54 |8.90 |8.45 |      |     |     |     |2450|    |    |      |          |     |      |
DENIS-P J1048278-525418    |  |J10482788-5254180  |10 |48| 27.9 | -52|54|18|27.62|0.06|L1.5|     |     |19.97|     |17.54|14.02|13.21|12.67|      |     |     |     |    |    |81  |      |          | 2002|      |
SDSS J104829.21+091937.8   |  |J10482926+0919373  |10 |48| 29.3 | +09|19|37|27.00|2.00|T2.5|     |     |     |23.53|     |16.59|15.90|16.37|15.87 |15.30|14.28|12.54|    |    |    |      |          | 2004|      |
DENIS-P J104842.81+011158.2|  |J10484281+0111580  |10 |48| 42.8 | +01|11|58|15.00|1.00|L1  |     |19.77|     |17.25|16.20|12.92|12.14|11.62|11.50 |     |     |     |2100|1.05|    |      |          | 2002|      |
Luhman 16 A                | x|                   |10 |49| 15.6 | -53|19| 6| 2.02|0.02|L7.5|23.25|     |18.85|     |15.29|11.53|10.37|9.46 |9.44  |7.89 |7.33 |6.20 |1310|    |47  |      |          | 2013|      |
Luhman 16 B                | x|                   |10 |49| 15.6 | -53|19| 6| 2.02|0.02|T0.5|24.07|     |19.45|     |15.57|11.22|10.39|9.71 |9.73  |     |     |     |1280|    |42  |  3.1 |       25 | 2013|      |
Luhman 16 C                | x|                   |10 |49| 15.6 | -53|19| 6| 2.02|0.02|    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |10  |      |          | 2013| UNCON|
SDSS J104922.45+012559.2   |  |J10492244+0125593  |10 |49| 22.4 | +01|25|59|26.40|5.20|L5  |     |     |     |21.00|     |15.88|14.95|14.11|      |     |     |     |    |    |    |      |          | 2009|      |
WISEP J105047.90+505606.2  |  |                   |10 |50| 47.9 | +50|56| 6|18.00|  ? |T8  |     |     |     |     |     |17.94|18.31|     |      |18.05|14.94|12.95|    |    |    |      |          | 2013|      |
SDSS J105118.96+561308.0   |  |J10511900+5613086  |10 |51| 19.0 | +56|13| 8|15.00|1.00|L2  |     |     |     |17.65|     |13.24|12.42|11.91|      |11.52|11.26|10.76|    |    |    |      |          | 2002|      |
GJ 3629 B                  | x|J10512059+3607255  |10 |51| 20.6 | +36| 7|26|22.00|3.00|M7  |     |     |     |     |     |12.32|11.77|11.44|11.39 |     |     |     |    |    |46  |  4.4 |       17 | 2012|      |
WISEP J105130.01-213859.7  |  |                   |10 |51| 30.0 | -21|38|60|12.50|    |T9  |     |     |     |     |     |18.93|19.19|     |      |17.17|14.54|12.69| 525|    |    |      |          | 2013|      |
SDSS J105213.51+442255.7   |  |J10521350+4422559  |10 |52| 13.5 | +44|22|56|17.00|1.00|T0.5|     |     |     |     |     |15.96|15.16|14.57|14.46 |13.70|13.09|12.48|    |    |    |      |          | 2000|      |
WISE J105257.95-194250.2   |  |                   |10 |52| 58.0 | -19|42|50|15.00|1.00|T7.5|     |     |     |     |     |17.07|16.79|15.34|      |16.87|14.20|12.34|    |    |    |      |          | 2013|      |
DENIS-P J105847.9-154817   |  |J10584787-1548172  |10 |58| 47.9 | -15|48|17|17.33|0.30|L3  |     |     |20.10|     |17.76|14.16|13.23|12.53|12.65 |     |11.76|     |    |    |    |      |          | 1997|      |
2MASS J10595185+3042059    |  |J10595185+3042059  |10 |59| 51.9 | +30|42| 6|23.00|  ? |T4  |     |     |     |     |     |16.20|15.77|15.56|      |15.81|14.24|12.36|    |    |    |      |          | 2009|      |
SDSS J110009.62+495746.5   |  |J11000965+4957470  |11 | 0|  9.7 | +49|57|47|25.10|4.80|L3.5|     |     |     |20.09|     |15.28|14.19|13.47|      |12.96|12.61|12.17|    |    |    |      |          | 2002|      |
SDSS J110401.29+195922.3   |  |J11040127+1959217  |11 | 4|  1.3 | +19|59|22|18.00|2.00|L4  |     |     |     |19.35|18.30|14.38|13.48|12.95|      |     |     |     |    |    |    |      |          | 2003|      |
SDSS J110612.00+275420.0   |  |J11061197+2754225  |11 | 6| 12.0 | +27|54|23|20.83|1.30|T2.5|     |     |     |     |     |14.82|14.15|13.80|      |13.18|12.33|11.55|    |    |    |      |          | 2002|      |
2MASSW J1108307+683017     |  |J11083081+6830169  |11 | 8| 30.8 | +68|30|17|16.90|1.10|L1  |     |     |     |     |17.20|13.12|12.24|11.58|      |11.12|10.76|10.15|2100|    |    |      |          | 2000|      |
SDSS J110927.19-160653.7   |  |J11092745-1606515  |11 | 9| 27.2 | -16| 6|54|20.30|3.90|L0  |     |     |     |19.28|     |14.97|14.35|13.89|      |     |     |     |    |    |    |      |          | 2010|      |
SDSSp J111010.01+011613.1  |  |J11101001+0116130  |11 |10| 10.0 | +01|16|13|19.19|0.44|T5.5|     |     |     |24.26|     |16.34|15.92|15.13|16.05 |15.59|13.99|11.89|1060|0.92|41  |      |          | 2002|      |
GJ 417 B                   | x|J11122567+3548131  |11 |12| 25.7 | +35|48|13|21.93|0.21|L4.5|     |     |     |     |18.32|15.05|14.19|12.72|13.29 |     |11.62|     |1700|1.00|53  | 2000 |          | 2000|      |
GJ 417 C                   | x|J11122567+3548131  |11 |12| 25.7 | +35|48|13|21.93|0.21|L6  |     |     |     |     |     |15.49|14.45|     |13.63 |     |     |     |1630|1.00|48  | 2.85 |    15.65 | 2003|      |
2MASS J11145133-2618235    |  |J11145133-2618235  |11 |14| 51.3 | -26|18|24| 5.66|0.22|T7.5|     |     |     |23.69|     |15.86|15.73|16.11|16.54 |15.35|12.24|11.17| 750|    |40  |      |          | 2005|      |
DENIS-P J1115297-242934    |  |J11152970-2429346  |11 |15| 29.7 | -24|29|35|25.80|4.40|M9  |     |     |     |     |16.50|13.59|12.95|     |12.54 |     |     |     |    |    |    |      |          | 2011|      |
SDSS J111736.93+360935.9   |  |J11173691+3609359  |11 |17| 36.9 | +36| 9|36|23.50|4.50|L0  |     |     |     |18.64|     |14.27|13.46|12.96|      |     |     |     |    |    |    |      |          | 2003|      |
Xi Ursae Majoris e         | x|J11183876+3125441  |11 |18| 38.7 | +31|25|38| 8.29|0.15|T8.5|     |     |     |     |     |17.80|17.92|18.75|      |16.16|13.31|12.36| 675|    |43  | 4000 |          | 2012|      |
LHS 2397aB                 | x|J11202634-1440017  |11 |20| 26.4 | -14|40| 2|14.25|0.43|L7.5|     |     |     |     |     |15.23|14.40|     |13.60 |     |     |     |1350|1.00|71  |3.086 |    14.26 | 2003|      |
2MASS J11220826-3512363    |  |J11220826-3512363  |11 |22|  8.3 | -35|12|36|15.00|1.00|T2  |     |     |     |     |     |15.02|14.36|14.38|      |13.93|12.77|11.72|    |    |    |      |          | 2004|      |
2MASS J11224462-6533161    |  |J11224462-6533161  |11 |22| 44.6 | -65|33|16|23.75|8.70|L0  |     |     |     |     |     |13.59|12.87|12.39|      |     |     |     |    |    |    |      |          | 2012|      |
WISEPC J112254.73+255021.5 |  |                   |11 |22| 54.7 | +25|50|22|17.70|    |T6  |     |     |     |     |     |16.67|16.64|16.55|      |16.05|13.97|12.39| 975|    |    |      |          | 2011|      |
WISEP J112438.12-042149.7  |  |                   |11 |24| 38.1 | -04|21|50|15.50|    |T7  |     |     |     |     |     |16.72|16.32|16.37|      |16.56|14.05|12.49| 825|    |    |      |          | 2013|      |
2MASS J11263991-5003550    |  |J11263991-5003550  |11 |26| 39.9 | -50| 3|55| 8.20|1.80|L9  |     |     |     |     |18.29|14.00|13.28|12.83|      |     |     |     |    |    |    |      |          | 2006|      |
SDSS J112706.62+470548.1   |  |                   |11 |27|  6.6 | +47| 5|48|31.70|6.10|L1  |     |     |     |19.57|     |15.20|14.50|13.91|      |     |     |     |    |    |    |      |          | 2010|      |
WDS J11279+7411 A          | x|J11275346+7411076  |11 |27| 53.5 | +74|11| 8|14.60|    |L2  |     |     |     |     |16.50|13.02|12.37|11.95|      |     |     |     |    |    |    |      |          |     |      |
WDS J11279+7411 B          | x|J11275346+7411076  |11 |27| 53.5 | +74|11| 8|14.60|    |    |     |     |     |     |     |     |     |     |      |     |     |     |    |    |    |      |          | 2003| UNCON|
SDSS J113941.90-031004.1   |  |J11394192-0310039  |11 |39| 41.9 | -03|10| 4|18.60|3.50|L0  |     |21.03|19.96|18.61|17.63|14.40|13.71|13.20|      |     |     |     |    |    |    |      |          | 2008|      |
WISE J113949.24-332425.1   |  |                   |11 |39| 49.2 | -33|24|25|25.00|2.00|T7  |     |     |     |     |     |17.97|17.94|     |      |17.98|14.83|12.87|    |    |    |      |          | 2013|      |
TWA 26                     |  |J11395113-3159214  |11 |39| 51.1 | -31|59|22|28.49|3.49|M9  |     |     |18.10|     |15.83|12.69|12.00|     |11.50 |     |     |     |    |    |    |      |          |     |      |
WISEP J114340.22+443123.8  |  |                   |11 |43| 40.2 | +44|31|24|19.00|  ? |T8.5|     |     |     |     |     |18.76|19.04|     |      |18.51|15.27|13.00|    |    |    |      |          | 2013|      |
2MASS J11463449+2230527 A  | x|J11463449+2230527  |11 |46| 34.5 | +22|30|53|27.20|0.60|L3  |22.56|     |20.14|18.85|17.62|14.17|13.18|12.59|      |     |     |     |    |    |63  |      |          | 1999|      |
2MASS J11463449+2230527 B  | x|J11463449+2230527  |11 |46| 34.5 | +22|30|53|27.20|0.60|L3  |     |     |     |     |     |     |     |     |      |     |     |     |    |    |63  |  7.9 |       94 | 1999|      |
SDSS J115013.17+052012.3   |  |J11501322+0520124  |11 |50| 13.2 | +05|20|12|29.00|  ? |L5.5|     |     |     |21.30|     |16.25|15.46|15.02|      |     |     |     |    |    |    |      |          | 2009|      |
WISEPC J115013.88+630240.7 |  |                   |11 |50| 13.9 | +63| 2|41|10.10|    |T8  |     |     |     |     |     |17.72|18.01|16.65|      |16.99|13.43|12.15| 675|    |    |      |          | 2011|      |
ULAS J1152+0359            |  |                   |11 |52| 29.9 | +03|59|29|31.00|  ? |T6  |     |     |     |     |     |17.28|17.70|     |17.77 |     |     |     |    |    |    |      |          | 2012|      |
SDSS J115339.67+503209.4   |  |J11533966+5032092  |11 |53| 39.7 | +50|32| 9|27.00|4.00|L1  |     |     |     |18.46|     |14.19|13.31|12.85|      |     |     |     |    |    |    |      |          | 2006|      |
DENIS-P J115442.2-340039   |  |J11544223-3400390  |11 |54| 42.2 | -34| 0|39|31.00|2.00|L0  |     |     |     |     |17.90|14.20|13.33|12.85|      |12.36|12.05|11.55|    |    |    |      |          | 2003|      |
2MASS J11553952-3727350    |  |J11553952-3727350  |11 |55| 39.5 | -37|27|35| 9.58|0.43|L2  |     |     |     |     |     |12.81|12.04|11.46|      |     |     |     |2200|    |    |      |          | 2002|      |
SDSS J115553.86+055957.5   |  |J11555389+0559577  |11 |55| 53.9 | +05|59|58|17.27|3.04|L7.5|     |     |     |21.28|     |15.66|14.70|14.12|14.09 |13.30|12.85|12.42|    |    |    |      |          | 2002|      |
SDSS J115700.50+061105.2   |  |A J11570049+061105 |11 |57|  0.5 | +06|11| 5|29.59|2.43|T1.5|     |     |     |     |     |16.93|16.04|15.25|      |15.37|14.52|12.31|    |    |    |      |          | 2004|      |
DENIS-P J1157480-484442    |  |J11574809-4844428  |11 |57| 48.1 | -48|44|43|28.87|0.07|L0.5|     |     |     |     |17.32|14.01|13.33|12.79|      |     |     |     |    |    |82  |      |          | 2002|      |
2MASS J11592743-5247188    |  |J11592743-5247188  |11 |59| 27.4 | -52|47|19| 9.60|1.90|M9  |     |     |16.62|     |14.49|11.43|10.76|10.32|      |     |     |     |    |    |    |      |          | 2004| UNCON|
DENIS-P J1159+0057         |  |J11593850+0057268  |11 |59| 38.5 | +00|57|27|30.00|2.00|L0  |     |21.14|     |18.51|17.32|14.08|13.31|12.81|12.67 |     |     |     |    |    |    |      |          | 1999|      |
SDSS J120249.99+420452.1   |  |J12025009+4204531  |12 | 2| 50.0 | +42| 4|52|21.50|4.10|L0  |     |21.45|     |18.87|     |14.50|13.69|13.26|      |     |     |     |    |    |    |      |          | 2008|      |
ULAS J120257.05+090158.8   |  |                   |12 | 2| 57.1 | +09| 1|59|29.00|  ? |T5  |     |     |     |     |     |16.71|16.91|16.94|      |16.84|14.91|12.04|    |    |    |      |          | 2010|      |
SDSSp J120358.19+001550.3  |  |J12035812+0015500  |12 | 3| 58.1 | +00|15|50|19.00|2.00|L3  |     |     |     |18.88|18.88|14.01|13.06|12.48|      |     |     |     |1600|1.52|    |      |          | 2000|      |
SDSS J120430.38+321259.4   |  |J12043036+3212595  |12 | 4| 30.4 | +32|12|60|26.00|2.00|L0  |     |     |     |18.16|     |13.82|13.09|12.52|      |     |     |     |    |    |    |      |          | 2003|      |
ULAS J1204-0150            |  |                   |12 | 4| 44.9 | -01|50|36|28.00|  ? |T5.5|     |     |     |     |     |16.81|17.07|     |17.29 |     |     |     |    |    |    |      |          | 2012|      |
SDSS J120602.51+281328.7   |  |J12060248+2813293  |12 | 6|  2.5 | +28|13|29|26.00|2.00|T3  |     |     |     |     |     |16.54|15.82|15.82|15.97 |15.25|13.97|12.08|    |    |    |      |          | 2006|      |
WISEA J120604.25+840110.5  |  |                   |12 | 6|  4.3 | +84| 1|11|14.50|0.40|Y0  |     |     |     |     |     |20.47|21.06|     |      |18.73|15.06|12.54| 425|    |    |      |          | 2015|      |
DENIS-P J1206501?393725    |  |J12065011-3937261  |12 | 6| 50.1 | -39|37|26|22.40|4.10|L2  |     |     |     |     |17.67|14.32|13.60|     |13.09 |     |     |     |    |    |    |      |          | 2010|      |
2MASS J12073804-3909050 A  | p|J12073804-3909050  |12 | 7| 38.0 | -39| 9| 5|21.00|2.00|L2  |     |     |     |     |     |14.69|13.82|13.24|      |12.89|12.54|12.24|    |    |    |      |          | 2006|      |
